課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
8-1,18.     ,生育,shēngyù,V/N,"to have babies; reproduction, childbirth",sinh con; sinh sản,มีลูก การสืบพันธุ์การคลอดบุตร,ကလေးမွေးရန်၊ မျိုးပွားခြင်း၊ ကလေးမွေးဖွားခြင်း။,赤ん坊を産むこと。生殖、出産,"아기를 갖기 위해; 번식, 출산","tener bebés; reproducción, parto","memiliki bayi; reproduksi, persalinan",4
8-1,19.     ,補助,bǔzhù,V/N,"to subsidize; subsidy, allowance",trợ cấp; tiền trợ cấp,"อุดหนุน; เงินอุดหนุน, เบี้ยเลี้ยง",ထောက်ပံ့ရန်; ထောက်ပံ့ကြေး၊ ထောက်ပံ့ကြေး,補助金を出す。補助金、手当,"보조금을 지급하다; 보조금, 수당","subsidiar; subsidio, subsidio","mensubsidi; subsidi, tunjangan",4
8-1,20.     ,老人,lǎorén,N,"old people, seniors",người già,คนแก่ผู้อาวุโส,သက်ကြီးရွယ်အိုများ၊ သက်ကြီးရွယ်အိုများ,老人、高齢者,"노인들, 노인들","personas mayores, personas mayores","orang tua, manula",4
8-1,21.     ,夫婦,fūfù,N,"husband and wife, couple (夫 -fū, man; 婦 -fù, woman)",vợ chồng,สามีภรรยา คู่รัก (夫 -fū ผู้ชาย; 婦 -fù ผู้หญิง),လင်မယား၊ လင်မယား (夫 -fū၊ ယောက်ျား; 婦 -fù၊ မိန်းမ)၊,夫と妻、カップル (夫 -fü、男性、婦 -fù、女性),"남편과 아내, 커플(夫 -fū, 남자; 婦 -fù, 여자)","marido y mujer, pareja (夫 -fū, hombre; 婦 -fù, mujer)","suami dan istri, pasangan (夫 -fū, pria; 婦 -fù, wanita)",4
8-1,22.     ,獨生子,dúshēngzǐ,N,only child (male),con một (trai),ลูกคนเดียว (ชาย),ကလေး (ယောက်ျား) သာ,一人っ子（男性）,외동아이(남자),hijo único (varón),anak tunggal (laki-laki),4
8-1,23.     ,寵,chǒng,Vst,to spoil (somebody),nuông chiều (ai đó),จะทำให้เสีย (บางคน),(တစ်စုံတစ်ဦးကို လုယူရန်),（誰かを）台無しにする,(누군가를) 망치다,estropear (a alguien),memanjakan (seseorang),4
8-1,24.     ,職業,zhíyè,N,"occupation, profession",nghề nghiệp,อาชีพอาชีพ,အလုပ်အကိုင်၊ အလုပ်အကိုင်,職業、職業,"직업, 직업","ocupación, profesión","pekerjaan, profesi",4
8-1,25.     ,婦產科,fùchǎnkē,N,"obstetrics and gynecology, OB/GYN (婦 -fù, woman; 產 -chǎn, produce; 科 -kē, department)",khoa sản phụ khoa,"สูติศาสตร์และนรีเวชวิทยา OB/GYN (婦 -fù, ผู้หญิง; 產 -chǎn, ผลิตผล; 科 -kē, แผนก)",သားဖွားမီးယပ်ပညာ၊ OB/GYN (婦 -fù၊ အမျိုးသမီး၊ 產 -chǎn၊ ထုတ်လုပ်၊ 科 -kē၊ ဌာန),産婦人科、OB/GYN (婦 -fù、女性、產 -chƎn、農産物、科 -kē、部門),"산부인과, OB/GYN (婦 -fù, 여성; 產 -ch̎n, 생산; 科 -kē, 부서)","obstetricia y ginecología, obstetricia y ginecología (婦 -fù, mujer; 產 -chǎn, producir; 科 -kē, departamento)","kebidanan dan ginekologi, OB/GYN (婦 -fù, wanita; 產 -chǎn, produksi; 科 -kē, departemen)",4
8-1,26.     ,失業,shīyè,Vp,"to lose one's job, to become unemployed","mất việc, thất nghiệp","ตกงาน, ตกงาน",အလုပ်ပျက်၊ အလုပ်လက်မဲ့ဖြစ်ခြင်း။,職を失う、失業する,"직장을 잃다, 실업자가 되다","perder el trabajo, quedar desempleado","kehilangan pekerjaan, menjadi pengangguran",4
8-1,27.     ,補習班,bǔxíbān,N,"cram school (補習 bǔxí, supplement studies; 班 -bān, class)",lớp học thêm,"โรงเรียนกวดวิชา (補習 bǔxí, การศึกษาเสริม; 班 -bān, ชั้นเรียน)",ကရမ်မာကျောင်း (補習 bǔxí၊ ဖြည့်စွက်လေ့လာမှု၊ 班 -bān၊ အတန်း),塾（補習 bōxí、補足学習、班 -bān、クラス）,"학원(補習 būxí, 보충 학습; 班 -bān, 수업)","escuela intensiva (補習 bǔxí, estudios complementarios; 班 -bān, clase)","sekolah menjejalkan (補習 bǔxí, pelajaran tambahan; 班 -bān, kelas)",4
8-1,28.     ,不可思議,bùkě sīyì,,"hard to comprehend, beyond logic, unbelievable","khó hiểu, vô lý, không thể tin được",เข้าใจยาก เกินตรรกะ ไม่น่าเชื่อ,နားလည်ရခက်၊ ယုတ္တိမရှိ၊ မယုံနိုင်စရာ,理解するのが難しい、論理を超えている、信じられない,"이해하기 어렵다, 논리를 넘어서, 믿을 수 없다","Difícil de comprender, más allá de la lógica, increíble","sulit untuk dipahami, melampaui logika, sulit dipercaya",4
8-1,29.     ,有話直說,yǒuhuà zhíshuō,,"to be frank, don't hold anything back, spit it out","nói thẳng, đừng giấu giếm",พูดตรงๆ อย่ากลั้นอะไร คายมันออกมา,ပွင့်ပွင့်လင်းလင်းပြောရရင် ဘာကိုမှ မဆုပ်ကိုင်ထားဘဲ တံတွေးထွေးလိုက်ပါ။,率直に言うと、何も我慢せずに吐き出してください,솔직히 참지 말고 뱉어내,"ser sincero, no te guardes nada, escúpelo","sejujurnya, jangan menahan apa pun, keluarkan",4
8-1,30.     ,娃娃推車,wáwa tuīchē,,baby carriage,xe đẩy em bé,รถเข็นเด็ก,ကလေးလှည်း,乳母車,유모차,cochecito de bebé,kereta bayi,4
8-1,31.     ,不足為奇,bùzú wéiqí,,"nothing strange, not surprising at all","chẳng có gì lạ, hoàn toàn không ngạc nhiên",ไม่มีอะไรแปลก ไม่น่าแปลกใจเลย,ဘာမှ မထူးဆန်းပါဘူး၊ အံ့သြစရာတော့ မရှိပါဘူး။,何も不思議ではない、まったく驚くべきことではない,전혀 이상하지도 놀랍지도 않아,"nada extraño, nada sorprendente","tidak ada yang aneh, tidak mengherankan sama sekali",4
8-1,32.     ,遠遠,yuǎnyuǎn,,by far,cho đến nay,โดยไกล,ဝေးသည်။,はるかに,지금까지,con mucho,sejauh ini,4
8-1,33.     ,傳宗接代,chuánzōng jiēdài,,carry on the family line,nối dõi tông đường,สืบสานสายตระกูลต่อไป,မိသားစုလိုင်းကို ဆက်သွားပါ။,家系を引き継ぐ,가계를 이어가다,continuar con la línea familiar,melanjutkan garis keluarga,4
8-1,34.     ,無拘無束,wújū wúshù,,"carefree, free, do as one pleases","thoải mái, tự do, muốn làm gì thì làm",ไร้กังวล อิสระ ทำตามใจชอบ,ပေါ့ပေါ့ပါးပါး၊ လွတ်လွတ်လပ်လပ် စိတ်ကြိုက်လုပ်ပါ။,のんきな、自由な、好きなようにする,"평온한, 자유로운, 마음대로 하세요","despreocupado, libre, hacer lo que uno quiera","riang, bebas, lakukan sesuka hati",4
8-1,35.     ,老一輩,lǎoyíbèi,,the older generation,"thế hệ trước, lớp người đi trước",คนรุ่นเก่า,မျိုးဆက်ဟောင်း,古い世代,더 오래된 세대,la generación anterior,generasi yang lebih tua,4
8-1,36.     ,一胎化政策,yìtāihuà zhèngcè,,One Child Policy,Chính sách Một con,นโยบายเด็กหนึ่งคน,ကလေးတစ်ဦးမူဝါဒ,一人っ子政策,한 자녀 정책,Política de un solo hijo,Kebijakan Satu Anak,4
8-1,37.     ,這下子,zhèxiàzi,,as a consequence,"do đó, kết quả là",เป็นผล,အကျိုးဆက်အဖြစ်,結果として,결과적으로,como consecuencia,sebagai konsekuensinya,4
8-2,1.        ,已,yǐ,Adv,already (formal),đã (trang trọng),แล้ว (เป็นทางการ),ပြီးပြီ (တရားဝင်),すでに（正式に）,이미 (공식적으로),ya (formal),sudah (formal),4
8-2,2.        ,生育率,shēngyùlǜ,N,"birth rate (率 -lǜ, rate)",tỷ lệ sinh,"อัตราการเกิด (率 -lǜ, อัตรา)",မွေးနှုန်း (率 -lǜ၊ နှုန်း),出生率 (率 -lĜ、割合),"출생률(率 -lϜ, 비율)","tasa de natalidad (率 -lǜ, tasa)","angka kelahiran (率 -lǜ, angka)",4
8-2,3.        ,離婚,líhūn,Vp-sep,to get divorced,ly hôn,ที่จะหย่าร้าง,ကွာရှင်းရန်,離婚する,이혼하다,divorciarse,bercerai,4
8-2,4.        ,年齡,niánlíng,N,age,tuổi tác,อายุ (ayu),အသက် (a thet),年齢 (nenrei),나이 (nai) / 연령 (yeollyeong),edad,usia,4
8-2,5.        ,較,jiào,Adv,comparatively more (formal),tương đối nhiều hơn (trang trọng),ค่อนข้างมาก (เป็นทางการ),ယှဉ်လိုက်ရင် ပို (တရားဝင်)၊,比較的（フォーマルな）,비교적 더 (공식적으로),comparativamente más (formal),relatif lebih (formal),4
8-2,6.        ,使,shǐ,Vst,to cause,gây ra,ที่จะทำให้เกิด,ဖြစ်ပေါ်စေရန်,引き起こす,야기하다,causar,menyebabkan,4
8-2,7.        ,行業,hángyè,N,"businesses, walks of life","các ngành nghề, lĩnh vực",ธุรกิจ วิถีชีวิต,စီးပွားရေးလုပ်ငန်း၊ လူနေမှုဘ၀,ビジネス、日常生活,"기업, 삶의 방식","negocios, estilos de vida","bisnis, lapisan masyarakat",4
8-2,8.        ,重大,zhòngdà,Vs,"enormous, heavy","to lớn, nặng nề",ใหญ่โตหนัก,ကြီးမားသည်၊ လေးလံသည်။,巨大な、重い,"거대한, 무거운","enorme, pesado","sangat besar, berat",4
8-2,9.        ,幼稚園,yòuzhìyuán,N,kindergarten,trường mẫu giáo,โรงเรียนอนุบาล,သူငယ်တန်း,幼稚園,유치원,jardín de infancia,taman kanak-kanak,4
8-2,10.     ,招生,zhāoshēng,Vi,"to recruit students, find students",tuyển sinh,"เพื่อรับสมัครนักศึกษา, หานักศึกษา",ကျောင်းသားစုဆောင်းရန်၊ ကျောင်းသားများကိုရှာဖွေပါ။,生徒を募集する、生徒を見つける,"학생을 모집하다, 학생을 찾다","reclutar estudiantes, encontrar estudiantes","merekrut siswa, mencari siswa",4
8-2,11.     ,減班,jiǎnbān,Vp-sep,to reduce enrollments,giảm chỉ tiêu tuyển sinh,เพื่อลดการลงทะเบียน,စာရင်းသွင်းမှုများကို လျှော့ချရန်,入学者を減らすために,등록을 줄이기 위해,reducir las inscripciones,mengurangi pendaftaran,4
8-2,12.     ,將,jiāng,Adv,will soon,sắp sửa,จะเร็ว ๆ นี้,မကြာမီလာမည်။,すぐに,곧,pronto lo hará,akan segera,4
8-2,13.     ,少子化,shǎozǐhuà,Vp,"low birth rate (少, few; 子, children; 化 -huà, -ize, suffix indicating tranformation)",tỷ lệ sinh thấp,"อัตราการเกิดต่ำ (少, น้อย; 子, เด็ก ๆ; 化 -huà, -ize, คำต่อท้ายบ่งบอกถึงการเปลี่ยนแปลง)",မွေးနှုန်းနည်းပါးခြင်း (少၊ အနည်းငယ်၊ 子၊ ကလေးများ၊ 化 -huà၊ -ize၊ အသွင်ပြောင်းခြင်းကို ညွှန်ပြသော နောက်ဆက်တွဲ),出生率が低い（少、少数、子、子供、化 -huà、-ize、変化を示す接尾語）,"저출산 (少, 소수; 子, 어린이; 化 -huà, -ize, 변형을 나타내는 접미사)","baja tasa de natalidad (少, pocos; 子, niños; 化 -huà, -ize, sufijo que indica transformación)","tingkat kelahiran rendah (少, sedikit; 子, anak-anak; 化 -huà, -ize, akhiran yang menunjukkan transformasi)",4
8-2,14.     ,連鎖,liánsuǒ,Vs-attr,"chain, franchise","chuỗi cửa hàng, nhượng quyền",ห่วงโซ่แฟรนไชส์,ကွင်းဆက်၊ franchise,チェーン、フランチャイズ,"체인, 프랜차이즈","cadena, franquicia","rantai, waralaba",4
8-2,15.     ,兒童,értóng,N,child (ren),trẻ em,เด็ก),ကလေး (ကလေး),子供たち）,어린이들),niños),anak-anak),4
